HGNC_SYMBOL	GENE
APOOL	AAIR8193
AAK1	AAK1
PRKAG2	AAKG
PRKAG2	AAKG2
AAMDC	AAMDC
AAMP	AAMP
AANAT	AANAT
SERPINF2	AAP
RYBP	AAP1
AAR2	AAR2
AARD	AARD
AARS	AARS
AARS2	AARS2
AARSD1	AARSD1
AARS2	AARSL
AASDHPPT	AASD-PPT
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
SERPINA1	AAT
MAATS1	AAT1
MAATS1	AAT1alpha
AATF	AATF
AATK	AATK
PVALEF	AATK-AS1
AATK	AATYK
AATK	AATYK1
LMTK2	AATYK2
KIAA0319L	AAVR
PPP1R12C	AAVS1
HSD17B10	ABAD
ABAT	ABAT
MTSS1L	ABBA
MTSS1L	ABBA-1
HNRNPAB	ABBP1
ABCA3	ABC-C
HEATR6	ABC1
ABCA1	ABC1
ABCB11	ABC16
ABCA2	ABC2
ABCB1	ABC20
ABCF2	ABC28
ABCA3	ABC3
CFTR	ABC35
ABCC8	ABC36
ABCF1	ABC50
ABCB7	ABC7
ABCG1	ABC8
ABCA1	ABCA1
ABCA10	ABCA10
ABCA12	ABCA12
ABCA13	ABCA13
ABCA2	ABCA2
ABCA3	ABCA3
ABCA4	ABCA4
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCB1	ABCB1
ABCB10	ABCB10
ABCB11	ABCB11
TAP1	ABCB2
TAP2	ABCB3
ABCB4	ABCB4
ABCB5	ABCB5
ABCB5	ABCB5alpha
ABCB5	ABCB5beta
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC1	ABCC1
ABCC10	ABCC10
ABCC11	ABCC11
ABCC12	ABCC12
ABCC2	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC6	ABCC6
CFTR	ABCC7
ABCC8	ABCC8
ABCC9	ABCC9
CCL22	ABCD-1
CCL17	ABCD-2
CX3CL1	ABCD-3
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABCG4	ABCG4
ABCG5	ABCG5
ABCG8	ABCG8
ABCG2	ABCP
ABCA4	ABCR
ABCA7	ABCX
MSC	ABF-1
ALKBH1	ABH
ALKBH2	ABH2
ABHD1	ABHD1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD12	ABHD12A
ABHD12B	ABHD12B
ABHD13	ABHD13
